id1,id2,correlation
LOTR4,LOTR9,0.9580763745699158
LOTR9,LOTR4,0.9580763745699158
GP5,MF7,0.9207523373854676
MF7,GP5,0.9207523373854676
HP5,LOTR6,0.9193521303452082
LOTR6,HP5,0.9193521303452082
B5,H2,0.9190124187948652
H2,B5,0.9190124187948652
B5,XF2,0.9183460788916318
XF2,B5,0.9183460788916318
FS8,SW5,0.9166760199624778
SW5,FS8,0.9166760199624778
LK2,TIU6,0.915979897432586
TIU6,LK2,0.915979897432586
DA8,LW5,0.9156298652566608
LW5,DA8,0.9156298652566608
WD10,WD2,0.9135783940151212
WD2,WD10,0.9135783940151212
LU2,XF2,0.9134261171162226
XF2,LU2,0.9134261171162226
HP12,LK5,0.9123967088389284
LK5,HP12,0.9123967088389284
NCIS5,NCIS6,0.9096156920735766
NCIS6,NCIS5,0.9096156920735766
B5,LU2,0.9089165734424436
LU2,B5,0.9089165734424436
MCU12,SVU1,0.9084252905048388
SVU1,MCU12,0.9084252905048388
F1,SsC4,0.9084249054040076
SsC4,F1,0.9084249054040076
CM5,NCIS1,0.908201427040921
NCIS1,CM5,0.908201427040921
AD10,ARCH2,0.9079259449325522
ARCH2,AD10,0.9079259449325522
AD2,R306,0.9078000077899532
R306,AD2,0.9078000077899532
HP3,HP6,0.9073823821910124
HP6,HP3,0.9073823821910124
HP6,MCU12,0.9072874840652289
MCU12,HP6,0.9072874840652289
MCU10,MCU3,0.9061143619242468
MCU3,MCU10,0.9061143619242468
SUC3,WSW11,0.9059338516190112
WSW11,SUC3,0.9059338516190112
CM5,TW1,0.9052509264589776
TW1,CM5,0.9052509264589776
DK2,GTH7,0.9035884227248876
GTH7,DK2,0.9035884227248876
B5,SVU6,0.9032790275755646
SVU6,B5,0.9032790275755646
HP3,S4,0.901145886540016
S4,HP3,0.901145886540016
FS7,WD10,0.9009969419041888
WD10,FS7,0.9009969419041888
H3,NCIS5,0.9007910581630144
NCIS5,H3,0.9007910581630144
F4,GP5,0.9007419057889492
GP5,F4,0.9007419057889492
SVU6,XF2,0.9003502647757273
XF2,SVU6,0.9003502647757273
B3,CM2,0.8990845369665759
CM2,B3,0.8990845369665759
LU2,SVU1,0.899071442255473
SVU1,LU2,0.899071442255473
MCU12,SVU6,0.8985575301081797
SVU6,MCU12,0.8985575301081797
HP6,TNG1,0.897623271558385
TNG1,HP6,0.897623271558385
HAM5,LK6,0.8972421615363094
LK6,HAM5,0.8972421615363094
HP3,MCU12,0.8972096611668855
MCU12,HP3,0.8972096611668855
RD3,RD6,0.896984599133507
RD6,RD3,0.896984599133507
HAM4,SW2,0.8969677082842283
SW2,HAM4,0.8969677082842283
CM5,SVU3,0.8967526944594161
SVU3,CM5,0.8967526944594161
GOT27,TP13,0.8956208752181629
TP13,GOT27,0.8956208752181629
MF9,SsC4,0.8948367919596627
SsC4,MF9,0.8948367919596627
ALA6,GOT27,0.8940402025057054
GOT27,ALA6,0.8940402025057054
BSG1,NCIS1,0.8937301557673698
NCIS1,BSG1,0.8937301557673698
SW2,WW9,0.8936400629492696
WW9,SW2,0.8936400629492696
KE3,SL5,0.8925818840924693
SL5,KE3,0.8925818840924693
FR4,MF4,0.8918462001888332
MF4,FR4,0.8918462001888332
CM3,LK2,0.8918363572812285
LK2,CM3,0.8918363572812285
FS4,FS6,0.8914614945047546
FS6,FS4,0.8914614945047546
DK7,TW4,0.89140287079517
TW4,DK7,0.89140287079517
GOT18,SUC1,0.8913470965121024
SUC1,GOT18,0.8913470965121024
TO14,TP14,0.8909545671432731
TP14,TO14,0.8909545671432731
B994,TIU3,0.890557907188715
TIU3,B994,0.890557907188715
DK7,GTH10,0.8903256478790552
GTH10,DK7,0.8903256478790552
F4,T7S3,0.8902631521056764
T7S3,F4,0.8902631521056764
DH4,EU6,0.889331399588607
EU6,DH4,0.889331399588607
FS5,TW3,0.8886671693434879
TW3,FS5,0.8886671693434879
NCIS5,PR9,0.8885845087667499
PR9,NCIS5,0.8885845087667499
BSG2,TNG1,0.8878982754513814
