name,id,description,image
Vision (WandaVision),WV2,"High Iq, High-Tech, Genius, Respectful, Devoted, Love-Focused",https://openpsychometrics.org/tests/characters/test-resources/pics/WV/2.jpg
Wanda Maximoff (WandaVision),WV1,"Main Character, Beautiful, Love-Focused, Family-First, 🧙, Important",https://openpsychometrics.org/tests/characters/test-resources/pics/WV/1.jpg
Agatha Harkness (WandaVision),WV3,"Two-Faced, 🧙, Purple, Mischievous, Rebellious, Competitive, 😈",https://openpsychometrics.org/tests/characters/test-resources/pics/WV/3.jpg
Scar (The Lion King),LK5,"Vengeful, Traitorous, Competitive, Bitter, Villainous, Cruel",https://openpsychometrics.org/tests/characters/test-resources/pics/LK/5.jpg
Timon (The Lion King),LK3,"Chatty, Expressive, Short, Expressive, Loud, Funny",https://openpsychometrics.org/tests/characters/test-resources/pics/LK/3.jpg
Mufasa (The Lion King),LK6,"Loyal, Alpha, Heroic, Masculine, Mighty, Self-Disciplined",https://openpsychometrics.org/tests/characters/test-resources/pics/LK/6.jpg
Nala (The Lion King),LK2,"Beautiful, Loyal, Healthy, Competent, Attractive, 🌟",https://openpsychometrics.org/tests/characters/test-resources/pics/LK/2.jpg
Pumbaa (The Lion King),LK4,"Loyal, Kind, Good-Humored, Loud, Funny, Warm",https://openpsychometrics.org/tests/characters/test-resources/pics/LK/4.jpg
Simba (The Lion King),LK1,"Main Character, Important, Adventurous, Heroic, Summer, Kind",https://openpsychometrics.org/tests/characters/test-resources/pics/LK/1.jpg
Joey Tribbiani (Friends),F4,"Italian, Sexual, Playful, Playful, Extrovert, Social",https://openpsychometrics.org/tests/characters/test-resources/pics/F/4.jpg
Phoebe Buffay (Friends),F3,"Open To New Experinces, Artistic, 🎨, Spontaneous, Imaginative, Creative",https://openpsychometrics.org/tests/characters/test-resources/pics/F/3.jpg
Monica Geller (Friends),F2,"Neat, Self-Disciplined, Diligent, On-Time, Competitive, Scheduled",https://openpsychometrics.org/tests/characters/test-resources/pics/F/2.jpg
Ross Geller (Friends),F6,"Nerd, Bookish, Scientific, Scholarly, 🧠, Intellectual",https://openpsychometrics.org/tests/characters/test-resources/pics/F/6.jpg
Rachel Green (Friends),F1,"Beautiful, Feminine, Manicured, Stylish, City-Slicker, Attractive",https://openpsychometrics.org/tests/characters/test-resources/pics/F/1.jpg
Chandler Bing (Friends),F5,"Funny, Sarcastic, Comedic, Skeptical, 😜, Good-Humored",https://openpsychometrics.org/tests/characters/test-resources/pics/F/5.jpg
Jack Sparrow (Pirates of the Carribean),PC1,"Main Character, Adventurous, Rebellious, Spontaneous, Mischievous, Chaotic",https://openpsychometrics.org/tests/characters/test-resources/pics/PC/1.jpg
Will Turner (Pirates of the Carribean),PC4,"Love-Focused, 🤺, Beautiful, Blacksmith, Attractive, Active",https://openpsychometrics.org/tests/characters/test-resources/pics/PC/4.jpg
Elizabeth Swann (Pirates of the Carribean),PC5,"Beautiful, Attractive, Persistent, Motivated, Feminist, Active, Driven",https://openpsychometrics.org/tests/characters/test-resources/pics/PC/5.jpg
Hector Barbossa (Pirates of the Carribean),PC2,"Bold, Bossy, Worldly, Cocky, Street-Smart, Dominant",https://openpsychometrics.org/tests/characters/test-resources/pics/PC/2.jpg
Joshamee Gibbs (Pirates of the Carribean),PC3,"Scruffy, First-Mate, Blue-Collar, Rugged, Masculine, Vintage",https://openpsychometrics.org/tests/characters/test-resources/pics/PC/3.jpg
James Norrington (Pirates of the Carribean),PC6,"Serious, Side Character, Privileged, Scheduled, Manicured, Preppy",https://openpsychometrics.org/tests/characters/test-resources/pics/PC/6.jpg
April Ludgate (Parks and Recreation),PR6,"Frank, F***-The-Police, Distant, Goth, Mischievous, Rebellious",https://openpsychometrics.org/tests/characters/test-resources/pics/PR/6.jpg
Dr. John Watson (Sherlock),SL2,"Loyal, Heroic, Devoted, English, Diligent, Kind",https://openpsychometrics.org/tests/characters/test-resources/pics/SL/2.jpg
Ron Swanson (Parks and Recreation),PR5,"Frank, Masculine, Distant, Private, Wooden, Sturdy",https://openpsychometrics.org/tests/characters/test-resources/pics/PR/5.jpg
Mycroft Holmes (Sherlock),SL5,"High Iq, Rich, Intellectual, Privileged, Manicured, 🎩",https://openpsychometrics.org/tests/characters/test-resources/pics/SL/5.jpg
Sherlock Holmes (Sherlock),SL1,"High Iq, Stubborn, Main Character, Perceptive, Skeptical, Genius",https://openpsychometrics.org/tests/characters/test-resources/pics/SL/1.jpg
Leslie Knope (Parks and Recreation),PR1,"Persistent, Driven, Workaholic, Diligent, Overachiever, Go-Getter",https://openpsychometrics.org/tests/characters/test-resources/pics/PR/1.jpg
Han Solo (Star Wars),SW3,"F***-The-Police, Street-Smart, Bold, Rebellious, Spontaneous, Playful, Adventurous",https://openpsychometrics.org/tests/characters/test-resources/pics/SW/3.jpg
Ann Perkins (Parks and Recreation),PR2,"Loyal, Beautiful, 👨‍⚕️, Kind, Attractive, Healthy",https://openpsychometrics.org/tests/characters/test-resources/pics/PR/2.jpg
Obi-Wan Kenobi (Star Wars),SW5,"Pro, Master, Heroic, Loyal, Mature, Self-Disciplined",https://openpsychometrics.org/tests/characters/test-resources/pics/SW/5.jpg
Tom Haverford (Parks and Recreation),PR4,"Chatty, Extrovert, Lavish, Exaggerating, Social, Expressive, Dramatic",https://openpsychometrics.org/tests/characters/test-resources/pics/PR/4.jpg
Princess Leia (Star Wars),SW2,"Heroic, Persistent, Driven, Motivated, Diligent, Devoted",https://openpsychometrics.org/tests/characters/test-resources/pics/SW/2.jpg
Darth Vader (Star Wars),SW4,"Authoritarian, Serious, Ferocious, Strict, Bossy, Angry",https://openpsychometrics.org/tests/characters/test-resources/pics/SW/4.jpg
Luke Skywalker (Star Wars),SW1,"Main Character, Loyal, Heroic, Important, Kind, Motivated",https://openpsychometrics.org/tests/characters/test-resources/pics/SW/1.jpg
C-3PO (Star Wars),SW6,"Nerd, Asexual, Civilized, Bookish, Intellectual, Cautious",https://openpsychometrics.org/tests/characters/test-resources/pics/SW/6.jpg
Molly Hooper (Sherlock),SL6,"👨‍⚕️, Nerd, 👩‍🔬, Bookish, Low Self Esteem, Loyal",https://openpsychometrics.org/tests/characters/test-resources/pics/SL/6.jpg
D.I. Greg Lestrade (Sherlock),SL3,"Not Genocidal, Sheriff, English, Loyal, Gendered, Practical",https://openpsychometrics.org/tests/characters/test-resources/pics/SL/3.jpg
Mrs. Hudson (Sherlock),SL4,"Loyal, English, Treasure, Queen, Kind, Human",https://openpsychometrics.org/tests/characters/test-resources/pics/SL/4.jpg
Mark Brendanawicz (Parks and Recreation),PR3,"Straight, Gendered, Mundane, Regular, Privileged, Everyman",https://openpsychometrics.org/tests/characters/test-resources/pics/PR/3.jpg
Romeo Montague (Romeo and Juliet),RJ1,"Emotional, Love-Focused, Emotional, Dramatic, Impulsive, Head@Clouds",https://openpsychometrics.org/tests/characters/test-resources/pics/RJ/1.jpg
Damian Leigh (Mean Girls),MG6,"Queer, 🎨, 🦄, Expressive, Chatty, Multicolored",https://openpsychometrics.org/tests/characters/test-resources/pics/MG/6.jpg
Regina George (Mean Girls),MG2,"Bossy, Judgemental, Competitive, Rich, Bold, Dominant, Opinionated",https://openpsychometrics.org/tests/characters/test-resources/pics/MG/2.jpg
Cady Heron (Mean Girls),MG1,"Mathematical, High Iq, Young, Two-Faced, Bookish, Nerd, Beautiful",https://openpsychometrics.org/tests/characters/test-resources/pics/MG/1.jpg
Juliet Capulet (Romeo and Juliet),RJ2,"Young, Love-Focused, Romantic, Rich, Feminine, Emotional",https://openpsychometrics.org/tests/characters/test-resources/pics/RJ/2.jpg
Gretchen Wieners (Mean Girls),MG3,"Gossiping, Feminine, Manicured, Rich, Codependent, Chatty",https://openpsychometrics.org/tests/characters/test-resources/pics/MG/3.jpg
Janis Ian (Mean Girls),MG5,"Punk Rock, Indie, Rebellious, 🎨, Creative, Unorthodox",https://openpsychometrics.org/tests/characters/test-resources/pics/MG/5.jpg
Karen Smith (Mean Girls),MG4,"Feminine, Head@Clouds, Oblivious, Manicured, Flower Child, Young",https://openpsychometrics.org/tests/characters/test-resources/pics/MG/4.jpg
June George (Mean Girls),MG9,"Feminine, Chatty, Rich, Lenient, Manicured, Extrovert",https://openpsychometrics.org/tests/characters/test-resources/pics/MG/9.jpg
Aaron Samuels (Mean Girls),MG7,"Dog Person, 🏀, Gendered, Privileged, Mainstream, Sporty",https://openpsychometrics.org/tests/characters/test-resources/pics/MG/7.jpg
Mercutio (Romeo and Juliet),RJ4,"Italian, Bold, Loud, Extrovert, Mischievous, Playful",https://openpsychometrics.org/tests/characters/test-resources/pics/RJ/4.jpg
Rue Bennett (Euphoria),EU1,"Chaotic, Feminist, Self-Destructive, Egalitarian, Rebellious, Depressed",https://openpsychometrics.org/tests/characters/test-resources/pics/EU/1.jpg
Ms. Sharon Norbury (Mean Girls),MG8,"Nerd, Bookish, Intellectual, High Iq, Kind, Feminist",https://openpsychometrics.org/tests/characters/test-resources/pics/MG/8.jpg
Captain America (Marvel Cinematic Universe),MCU2,"Diligent, Motivated, Active, Self-Disciplined, Persistent, Heroic",https://openpsychometrics.org/tests/characters/test-resources/pics/MCU/2.jpg
Dr. Strange (Marvel Cinematic Universe),MCU8,"High Iq, Genius, Valedictorian, Intellectual, 🧠, Self-Disciplined",https://openpsychometrics.org/tests/characters/test-resources/pics/MCU/8.jpg
Tony Stark (Marvel Cinematic Universe),MCU1,"Rich, High-Tech, High Iq, Celebrity, Main Character, Technophile",https://openpsychometrics.org/tests/characters/test-resources/pics/MCU/1.jpg
Black Panther (Marvel Cinematic Universe),MCU9,"Loyal, Devoted, Active, Healthy, Diligent, Rich",https://openpsychometrics.org/tests/characters/test-resources/pics/MCU/9.jpg
Thanos (Marvel Cinematic Universe),MCU11,"Dominant, Extreme, Purple, Bold, Driven, Authoritarian",https://openpsychometrics.org/tests/characters/test-resources/pics/MCU/11.jpg
Nate Jacobs (Euphoria),EU4,"🏀, Demonic, Sporty, Poisonous, Jock, Cocky",https://openpsychometrics.org/tests/characters/test-resources/pics/EU/4.jpg
The Nurse (Romeo and Juliet),RJ5,"Side Character, Thick, Loyal, Domestic, Tailor, Low-Tech",https://openpsychometrics.org/tests/characters/test-resources/pics/RJ/5.jpg
Thor (Marvel Cinematic Universe),MCU6,"Loyal, Heroic, Bold, 🏋️‍♂️, Sporty, Beautiful",https://openpsychometrics.org/tests/characters/test-resources/pics/MCU/6.jpg
Charlotte York (Sex and the City),SC2,"Manicured, Feminine, Preppy, Refined, Civilized, Neat, Beautiful",https://openpsychometrics.org/tests/characters/test-resources/pics/SC/2.jpg
Maddy Perez (Euphoria),EU6,"Stylish, Extravagant, Attractive, Feminine, Scandalous, Purple",https://openpsychometrics.org/tests/characters/test-resources/pics/EU/6.jpg
Peter Jason Quill (Marvel Cinematic Universe),MCU15,"Chatty, Playful, Spontaneous, Loud, Funny, Impulsive",https://openpsychometrics.org/tests/characters/test-resources/pics/MCU/15.jpg
Nick Fury (Marvel Cinematic Universe),MCU7,"Secretive, Masculine, Dominant, Badass, Bold, Guarded",https://openpsychometrics.org/tests/characters/test-resources/pics/MCU/7.jpg
Jules Vaughn (Euphoria),EU2,"Queer, 🚴, 🦄, Young, Liberal, 🎨",https://openpsychometrics.org/tests/characters/test-resources/pics/EU/2.jpg
Willow Rosenberg (Buffy the Vampire Slayer),BVS3,"Nerd, Bookish, Valedictorian, Feminist, Knowledgeable, Indie",https://openpsychometrics.org/tests/characters/test-resources/pics/BVS/3.jpg
Loki (Marvel Cinematic Universe),MCU13,"Mischievous, Rebellious, Outlaw, Arrogant, Competitive, Individualist",https://openpsychometrics.org/tests/characters/test-resources/pics/MCU/13.jpg
Bruce Banner (Marvel Cinematic Universe),MCU4,"High Iq, Scientific, Genius, Bookish, Nerd, Loyal",https://openpsychometrics.org/tests/characters/test-resources/pics/MCU/4.jpg
Gamora (Marvel Cinematic Universe),MCU10,"Badass, Diligent, Coordinated, Active, Persistent, Guarded",https://openpsychometrics.org/tests/characters/test-resources/pics/MCU/10.jpg
Hawkeye (Marvel Cinematic Universe),MCU14,"Love-Focused, Coordinated, Perceptive, Active, 🏀, Sporty",https://openpsychometrics.org/tests/characters/test-resources/pics/MCU/14.jpg
